participant_id	age	sex	handedness
A00061210	57.0	MALE	RIGHT
A00061263	49.0	MALE	RIGHT
A00061274	76.0	MALE	RIGHT
A00061275	65.0	MALE	RIGHT
A00061276	37.0	FEMALE	RIGHT
A00061281	66.0	MALE	LEFT
A00061284	31.0	FEMALE	RIGHT
A00061298	17.0	FEMALE	LEFT
A00061387	22.0	MALE	RIGHT
A00061415	10.0	MALE	LEFT
A00061483	62.0	FEMALE	RIGHT
A00061485	64.0	FEMALE	RIGHT
A00061597	45.0	FEMALE	RIGHT
A00061598	28.0	FEMALE	RIGHT
A00061600	65.0	MALE	RIGHT
A00061634	51.0	FEMALE	RIGHT
A00061647	52.0	FEMALE	RIGHT
A00061656	65.0	MALE	LEFT
A00061666	69.0	FEMALE	LEFT
A00061709	23.0	MALE	RIGHT
A00061711	42.0	MALE	RIGHT
A00061714	16.0	MALE	RIGHT
A00061715	17.0	MALE	RIGHT
A00061725	74.0	FEMALE	RIGHT
A00061727	20.0	FEMALE	RIGHT
A00061728	66.0	FEMALE	RIGHT
A00061730	11.0	FEMALE	RIGHT
A00061749	13.0	FEMALE	RIGHT
A00061767	65.0	MALE	RIGHT
A00061787	69.0	FEMALE	RIGHT
A00061790	49.0	FEMALE	RIGHT
A00061802	54.0	MALE	RIGHT
A00061806	37.0	MALE	RIGHT
A00061881	19.0	MALE	RIGHT
A00061882	25.0	FEMALE	RIGHT
A00061883	14.0	MALE	RIGHT
A00061923	16.0	FEMALE	RIGHT
A00061962	51.0	FEMALE	RIGHT
A00062009	11.0	MALE	RIGHT
A00062081	12.0	MALE	RIGHT
A00062085	8.0	MALE	n/a
A00062144	15.0	FEMALE	RIGHT
A00062146	14.0	FEMALE	RIGHT
A00062210	43.0	FEMALE	RIGHT
A00062248	30.0	FEMALE	RIGHT
A00062255	46.0	MALE	RIGHT
A00062266	42.0	FEMALE	RIGHT
A00062268	50.0	FEMALE	RIGHT
A00062282	38.0	MALE	RIGHT
A00062285	51.0	FEMALE	LEFT
A00062288	33.0	MALE	RIGHT
A00062292	52.0	FEMALE	RIGHT
A00062349	6.0	MALE	RIGHT
A00062351	29.0	MALE	RIGHT
A00062353	10.0	FEMALE	RIGHT
A00062361	9.0	MALE	RIGHT
A00062368	52.0	FEMALE	RIGHT
A00062369	16.0	FEMALE	LEFT
A00062411	27.0	FEMALE	RIGHT
A00062416	57.0	FEMALE	RIGHT
A00062797	11.0	FEMALE	RIGHT
A00062798	6.0	FEMALE	LEFT
A00062809	15.0	FEMALE	RIGHT
A00062917	24.0	FEMALE	RIGHT
A00062920	68.0	FEMALE	RIGHT
A00062923	67.0	FEMALE	RIGHT
A00062926	46.0	FEMALE	RIGHT
A00062928	62.0	FEMALE	RIGHT
A00062929	57.0	FEMALE	RIGHT
A00062934	34.0	MALE	RIGHT
A00062937	63.0	MALE	RIGHT
A00062942	42.0	FEMALE	RIGHT
A00062983	17.0	MALE	RIGHT
A00062989	15.0	FEMALE	RIGHT
A00062996	11.0	FEMALE	RIGHT
A00062997	8.0	MALE	RIGHT
A00063000	57.0	FEMALE	RIGHT
A00063003	13.0	MALE	RIGHT
A00063006	11.0	FEMALE	RIGHT
A00063008	43.0	FEMALE	RIGHT
A00063031	56.0	FEMALE	RIGHT
A00063103	23.0	FEMALE	RIGHT
A00063110	54.0	MALE	LEFT
A00063326	35.0	MALE	RIGHT
A00063327	9.0	FEMALE	RIGHT
A00063329	12.0	FEMALE	RIGHT
A00063368	27.0	FEMALE	RIGHT
A00063383	17.0	FEMALE	RIGHT
A00063424	47.0	FEMALE	RIGHT
A00063425	14.0	MALE	RIGHT
A00063450	19.0	FEMALE	LEFT
A00063455	66.0	MALE	RIGHT
A00063458	82.0	MALE	RIGHT
A00063470	75.0	MALE	RIGHT
A00063473	73.0	FEMALE	RIGHT
A00063479	75.0	FEMALE	RIGHT
A00063481	53.0	FEMALE	RIGHT
A00063589	24.0	MALE	RIGHT
A00064053	52.0	FEMALE	RIGHT
A00064061	74.0	FEMALE	RIGHT
A00064081	44.0	FEMALE	RIGHT
A00064323	65.0	MALE	RIGHT
A00064328	69.0	FEMALE	RIGHT
A00064415	48.0	MALE	RIGHT
A00064416	17.0	FEMALE	LEFT
A00064418	11.0	FEMALE	RIGHT
A00064503	12.0	MALE	RIGHT
A00064505	15.0	MALE	RIGHT
A00064507	10.0	MALE	RIGHT
A00064580	25.0	MALE	RIGHT
A00064596	12.0	MALE	RIGHT
A00064597	10.0	FEMALE	RIGHT
A00065178	10.0	MALE	RIGHT
A00065185	6.0	MALE	RIGHT
A00065197	18.0	MALE	RIGHT
A00065250	10.0	MALE	RIGHT
A00065261	9.0	MALE	LEFT
A00065262	13.0	FEMALE	LEFT
A00065263	12.0	MALE	RIGHT
A00065302	70.0	FEMALE	RIGHT
A00065379	42.0	MALE	RIGHT
A00065478	54.0	FEMALE	RIGHT
A00065480	45.0	FEMALE	LEFT
A00065487	42.0	FEMALE	RIGHT
A00065565	84.0	MALE	RIGHT
A00065572	54.0	FEMALE	RIGHT
A00065574	23.0	MALE	RIGHT
A00065617	23.0	MALE	RIGHT
A00065717	61.0	MALE	RIGHT
A00065722	59.0	MALE	RIGHT
A00065743	51.0	FEMALE	LEFT
A00065749	60.0	MALE	LEFT
A00065750	8.0	MALE	RIGHT
A00065790	23.0	FEMALE	LEFT
A00065792	7.0	FEMALE	RIGHT
A00065802	14.0	MALE	RIGHT
A00065820	9.0	MALE	RIGHT
A00065865	81.0	MALE	RIGHT
A00065873	52.0	FEMALE	RIGHT
A00065934	17.0	MALE	RIGHT
A00065935	42.0	FEMALE	RIGHT
A00065941	15.0	MALE	RIGHT
A00065974	44.0	FEMALE	RIGHT
A00065991	43.0	FEMALE	RIGHT
A00065992	7.0	FEMALE	RIGHT
A00065995	45.0	MALE	LEFT
A00066013	50.0	FEMALE	RIGHT
A00066087	22.0	MALE	RIGHT
A00066091	22.0	MALE	RIGHT
A00066130	75.0	FEMALE	RIGHT
A00066153	21.0	MALE	RIGHT
A00066154	53.0	FEMALE	RIGHT
A00066162	52.0	FEMALE	RIGHT
A00066232	23.0	MALE	RIGHT
A00066236	33.0	MALE	RIGHT
A00066237	53.0	FEMALE	RIGHT
A00066245	49.0	FEMALE	RIGHT
A00066246	22.0	MALE	RIGHT
A00066282	38.0	FEMALE	RIGHT
A00066302	57.0	FEMALE	RIGHT
A00066314	13.0	MALE	RIGHT
A00066319	23.0	FEMALE	RIGHT
A00066389	69.0	FEMALE	LEFT
A00066396	14.0	MALE	RIGHT
A00066419	53.0	FEMALE	RIGHT
A00066460	65.0	MALE	RIGHT
A00066534	8.0	MALE	LEFT
A00066539	60.0	MALE	RIGHT
A00066572	14.0	FEMALE	RIGHT
A00066573	7.0	MALE	RIGHT
A00066580	9.0	FEMALE	RIGHT
A00066581	12.0	MALE	RIGHT
A00066582	14.0	FEMALE	RIGHT
A00066584	17.0	MALE	RIGHT
A00066589	13.0	FEMALE	RIGHT
A00066697	10.0	FEMALE	RIGHT
A00066698	10.0	FEMALE	RIGHT
A00066735	22.0	MALE	RIGHT
A00066781	27.0	MALE	RIGHT
A00066784	12.0	FEMALE	RIGHT
A00066788	39.0	FEMALE	RIGHT
A00066800	48.0	FEMALE	RIGHT
A00066812	23.0	MALE	RIGHT
A00066820	75.0	FEMALE	RIGHT
A00066822	26.0	FEMALE	RIGHT
A00066827	26.0	FEMALE	RIGHT
A00066831	73.0	FEMALE	RIGHT
A00066860	7.0	FEMALE	RIGHT
A00066864	58.0	FEMALE	RIGHT
A00066865	36.0	FEMALE	RIGHT
A00066871	46.0	FEMALE	RIGHT
A00066926	23.0	MALE	RIGHT
A00067174	67.0	MALE	RIGHT
A00072203	23.0	FEMALE	RIGHT
A00073230	59.0	FEMALE	RIGHT
A00073283	42.0	FEMALE	RIGHT
A00073296	74.0	FEMALE	RIGHT
A00073308	74.0	MALE	LEFT
A00073330	n/a	n/a	n/a
A00073525	52.0	FEMALE	RIGHT
A00073529	54.0	FEMALE	RIGHT
A00073545	7.0	FEMALE	RIGHT
A00073600	22.0	FEMALE	RIGHT
A00073611	64.0	FEMALE	RIGHT
A00073677	44.0	FEMALE	RIGHT
A00073705	78.0	FEMALE	RIGHT
A00073942	62.0	FEMALE	RIGHT
A00073953	69.0	FEMALE	RIGHT
A00074000	30.0	MALE	LEFT
A00074034	10.0	FEMALE	RIGHT
A00018030	11.0	FEMALE	LEFT
A00027159	11.0	MALE	RIGHT
A00027167	14.0	FEMALE	RIGHT
A00027439	15.0	MALE	RIGHT
A00028185	26.0	MALE	RIGHT
A00028352	23.0	FEMALE	RIGHT
A00031578	10.0	FEMALE	RIGHT
A00031881	15.0	MALE	RIGHT
A00033714	15.0	MALE	RIGHT
A00033747	26.0	FEMALE	RIGHT
A00034350	11.0	MALE	RIGHT
A00034854	21.0	FEMALE	RIGHT
A00035072	36.0	FEMALE	RIGHT
A00035291	13.0	FEMALE	RIGHT
A00035292	11.0	MALE	RIGHT
A00035364	12.0	MALE	RIGHT
A00035377	15.0	FEMALE	LEFT
A00035561	11.0	MALE	RIGHT
A00035827	36.0	MALE	RIGHT
A00035840	25.0	FEMALE	RIGHT
A00035940	16.0	MALE	RIGHT
A00035945	13.0	MALE	RIGHT
A00037112	35.0	FEMALE	RIGHT
A00037511	31.0	MALE	RIGHT
A00037848	32.0	MALE	RIGHT
A00038998	26.0	MALE	RIGHT
A00039277	27.0	FEMALE	RIGHT
A00039488	27.0	MALE	LEFT
A00043520	28.0	MALE	AMBIDEXTEROUS
A00043722	28.0	MALE	AMBIDEXTEROUS
A00051691	6.0	MALE	RIGHT
A00056020	6.0	MALE	RIGHT
A00039943	15.0	MALE	RIGHT
A00040117	6.0	MALE	RIGHT
A00040815	9.0	MALE	RIGHT
A00052182	12.0	MALE	RIGHT
A00052237	17.0	FEMALE	RIGHT
A00053171	8.0	MALE	AMBIDEXTEROUS
A00055693	8.0	FEMALE	LEFT
A00055806	30.0	FEMALE	RIGHT
A00056306	37.0	FEMALE	RIGHT
A00056307	8.0	FEMALE	RIGHT
A00056746	8.0	MALE	RIGHT
A00057480	10.0	MALE	LEFT
A00059326	8.0	MALE	RIGHT
A00060632	33.0	MALE	RIGHT
A00060846	13.0	FEMALE	LEFT
A00041049	58.0	FEMALE	RIGHT
A00039819	24.0	MALE	RIGHT
